         11993 function calls (11872 primitive calls) in 0.125 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.017    0.006    0.185    0.062 __init__.py:1(<module>)
        1    0.001    0.001    0.125    0.125 np_test_sph.py:1(<module>)
        1    0.003    0.003    0.123    0.123 __init__.py:106(<module>)
        1    0.000    0.000    0.105    0.105 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.081    0.081 type_check.py:3(<module>)
        1    0.001    0.001    0.048    0.048 __init__.py:7(<module>)
        1    0.002    0.002    0.028    0.028 utils.py:4(<module>)
        2    0.008    0.004    0.027    0.014 __init__.py:45(<module>)
        1    0.003    0.003    0.021    0.021 tempfile.py:18(<module>)
        1    0.008    0.008    0.014    0.014 random.py:40(<module>)
        1    0.004    0.004    0.011    0.011 numeric.py:1(<module>)
        1    0.009    0.009    0.009    0.009 case.py:1(<module>)
        1    0.002    0.002    0.009    0.009 _internal.py:6(<module>)
        1    0.000    0.000    0.009    0.009 polynomial.py:4(<module>)
        1    0.002    0.002    0.006    0.006 collections.py:1(<module>)
        1    0.000    0.000    0.006    0.006 main.py:1(<module>)
        1    0.006    0.006    0.006    0.006 runner.py:1(<module>)
        1    0.005    0.005    0.005    0.005 hashlib.py:56(<module>)
        1    0.004    0.004    0.005    0.005 __init__.py:88(<module>)
        1    0.002    0.002    0.005    0.005 __init__.py:41(<module>)
        1    0.004    0.004    0.004    0.004 npyio.py:1(<module>)
        1    0.004    0.004    0.004    0.004 shutil.py:5(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:15(<module>)
       17    0.000    0.000    0.004    0.000 re.py:192(compile)
       17    0.000    0.000    0.004    0.000 re.py:230(_compile)
        1    0.003    0.003    0.004    0.004 io.py:34(<module>)
        1    0.004    0.004    0.004    0.004 heapq.py:31(<module>)
       13    0.000    0.000    0.004    0.000 sre_compile.py:567(compile)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
       13    0.000    0.000    0.002    0.000 sre_parse.py:706(parse)
      272    0.001    0.000    0.002    0.000 function_base.py:3511(add_newdoc)
    19/13    0.000    0.000    0.002    0.000 sre_parse.py:317(_parse_sub)
    19/13    0.001    0.000    0.002    0.000 sre_parse.py:395(_parse)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
       16    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
       13    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
       40    0.000    0.000    0.001    0.000 core.py:102(get_object_signature)
       23    0.000    0.000    0.001    0.000 core.py:6256(__init__)
       23    0.000    0.000    0.001    0.000 core.py:6261(getdoc)
        2    0.001    0.000    0.001    0.001 collections.py:293(namedtuple)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
    40/13    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
        1    0.001    0.001    0.001    0.001 polynomial.py:55(<module>)
        5    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
       40    0.001    0.000    0.001    0.000 _inspect.py:98(getargspec)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
      272    0.001    0.000    0.001    0.000 {__import__}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
     1297    0.001    0.000    0.001    0.000 {getattr}
        1    0.001    0.001    0.001    0.001 {function seed at 0x2b8de1cf39b0}
       15    0.000    0.000    0.001    0.000 abc.py:105(register)
    89/61    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 np_test_sph.py:17(vector_compute_spherical_harmonics)
      270    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
    20/15    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
      314    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
       13    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
       16    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x2b8dadef2f20}
       15    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 os.py:475(update)
